file_size_bytes,duration_ms,throughput_mbps,chunk_size_bytes
1048576,16,513.27,1024
1048576,5,1493.89,2048
1048576,4,1957.78,4096
1048576,3,2645.61,8192
1048576,2,2876.86,16384
1048576,3,2693.76,32768
1048576,3,2759.77,65536
1048576,3,2714.34,131072
1048576,3,2532.22,262144
10485760,66,1254.28,1024
10485760,34,2412.27,2048
10485760,25,3330.13,4096
10485760,16,5063.50,8192
10485760,12,6688.34,16384
10485760,11,7532.13,32768
10485760,10,7791.89,65536
10485760,11,7545.18,131072
10485760,11,7511.22,262144
104857600,582,1440.85,1024
104857600,320,2615.79,2048
104857600,210,3978.09,4096
104857600,133,6263.73,8192
104857600,94,8891.57,16384
104857600,89,9339.39,32768
104857600,81,10234.95,65536
104857600,81,10318.31,131072
104857600,84,9889.11,262144
