file_size_bytes,duration_ms,throughput_mbps,chunk_size_bytes
1024,7,1.10,8192
2048,2,7.08,8192
4096,2,14.69,8192
8192,2,29.50,8192
16384,2,62.55,8192
32768,2,130.67,8192
65536,1,263.21,8192
131072,2,489.21,8192
262144,2,863.95,8192
524288,2,1664.75,8192
1048576,3,2630.80,8192
2097152,5,2999.85,8192
5242880,12,3355.04,8192
10485760,22,3727.04,8192
20971520,35,4666.35,8192
52428800,84,4991.08,8192
104857600,149,5599.60,8192
209715200,282,5945.41,8192
524288000,763,5492.80,8192
1073741824,1441,5958.70,8192
